title,genre,director,country,year,imdb_rating
55 дней в Пекине,"драма; исторический; военный; ,",Николас Рэй,США,1963,6.7
51,фантастика; фильм ужасов,Джейсон Коннери,США,2011,3.5
"50 ютуберов борются за $1,000,000 для своих подписчиков!",,,,2024,6.6
50 таблеток,Драма,Тео Эвгерино,США,2006,4.9
50 первых поцелуев,романтическая комедия,Питер Сигал,США,2004,6.8
50 оттенков голубого,драма,Стюарт Мейн,Новая Зеландия,2005,5.8
49 дней,"драма; приключения; ,",Генрих Габай,СССР,1962,6.9
47 ронинов,фэнтези; боевик; драма,Карл Ринш,США; Япония,2013,6.2
45-й калибр,драма,Гари Леннон,США,2006,5.5
45 лет,драма,Эндрю Хэйг,Великобритания,2015,7.1
42-я улица,комедия; мюзикл; мелодрама,Ллойд Бэкон; Басби Беркли; (муз. номера),США,1933,7.3
42,драма; спортивный фильм,Брайан Хелгеленд,США; 2; 3,2013,7.5
40-я дверь,драма,Эльчин Мусаоглу,Азербайджан,2009,7.8
40 дней и 40 ночей,кинокомедия,Майкл Леманн,США,2002,5.6
40,детектив; триллер; /,Александр Галибин,Россия,2007,5.5
39-я бригада,"исторический фильм, военный, экранизация",Карой Макк,Венгрия,1959,6.4
Активная зона,драма,Леонид Пчёлкин,СССР,1979,6.3
Актриса,мелодрама; комедия; военный фильм,Леонид Трауберг,СССР,1942,7.1
Актёры,комедия,Бертран Блие,Франция,2000,5.9
Актёры,"комедия, криминал",Конор МакФерсон,Великобритания; Германия; Ирландия,2003,5.8
Актёр Йоллер,драма,Вирве Аруоя,СССР,1960,6.2
Акт убийства,Фильм нуар,Майкл Гордон,США,1948,6.9
Акт убийства,документальный; исторический,Джошуа Оппенхаймер; Кристин Цинн (сорежиссёр); Анонимные сорежиссёры,Великобритания; Дания; Норвегия,2012,8.2
Акт насилия,Фильм нуар; Драма,Фред Циннеман,США,1948,7.5
Акт,мелодрама; детективный фильм,Александр Рогожкин,Россия,1993,5.3
Акт агрессии,криминальный фильм; драма,Жерар Пирес,Франция; Италия,1975,5.3
Аксели и Элина,"драма; исторический; ,",Эдвин Лайне,Финляндия,1970,6.9
Акселератка,эксцентрическая комедия,Алексей Коренев,СССР,1987,5.6
Акробатическая смесь,хроника; короткометражка,Макс Складановский,Германская империя,1895,5.2
"Акмаль, дракон и принцесса",сказка,Юрий Степчук,СССР,1981,5.7
Аккумулятор 1,"фантастика; комедия; ,",Ян Сверак,Чехия; 1,1994,7.0
Аккорды долгой жизни,"биографический фильм; драма; комедия; мюзикл; ,",Анар Рзаев,СССР,1981,8.0
Аккордеонист,Документальное кино,Луи Лепренс,Великобритания,1888,5.5
Аккатоне,драма,Пьер Паоло Пазолини,Италия,1961,7.6
Аккомпаниаторша,"драма; военный фильм; ,",Клод Миллер,Франция,1992,6.9
"Аквариум, или Одиночество шпиона","драма; боевик; ,",Энтони Краузе,Германия; Польша; Украина,1996,6.6
Аквариум,драма,Андреа Арнольд,Великобритания,2009,7.3
Акварель,драма,Отар Иоселиани,СССР,1958,6.8
Акварели,мелодрама,Дэвид Оливерас,США,2008,6.4
Акванавты,Фантастика,Игорь Вознесенский,СССР,1979,5.5
Аквамен и потерянное царство,супергероика; боевик; фантастика; приключения,Джеймс Ван,США,2023,5.6
Аквамен,супергероика; боевик; приключения; фантастика,Джеймс Ван,США,2018,6.8
Аквамарин,фэнтези; комедия; семейный фильм,Элизабет Аллен,Австралия; США,2006,5.5
Акваланги на дне,детектив; приключенческий фильм; детский,Евгений Шерстобитов,СССР,1965,6.6
Акации,драма,Пабло Джорджелли,Аргентина; Испания,2011,6.9
Академия смерти,драма; военный фильм; /,Деннис Ганзель,Германия,2004,7.4
Академия Рашмор,комедия; драма,Уэс Андерсон,США,1998,7.6
Академия вампиров,фэнтезийный; комедийный фильм ужасов,Марк Уотерс,США; Великобритания,2014,5.4
Академия пана Кляксы,киносказка,Кшиштоф Градовский,СССР; Польша,1983,6.8
Академик из Аскании,биографический фильм,Владимир Герасимов,СССР,1961,5.8
Академик Иван Павлов,биографическая; драма,Григорий Рошаль,СССР,1949,6.0
Айя,"мелодрама; экранизация; ,",Варис Брасла,СССР,1987,6.9
Айша,романтическая комедия,Раджшри Оджха; 1,Индия,2010,5.1
Айта,"драма; триллер; ,",Степан Бурнашёв,Россия,2022,6.7
Айседора,драма,Карел Рейш,Великобритания,1968,6.8
Айна,"драма; исторический; ,","Алты Карлиев; , Владимир Иванов",СССР,1959,
Айсберг,"фильм-катастрофа; боевик; приключенческий фильм; ,",Шейн Ван Дайк,США,2010,1.7
Айрис,драма,Ричард Айр,Великобритания; США,2001,7.0
Айрис,документальный,Альберт Мэйслес,США,2014,7.1
Айрик,мелодрама,Генрих Малян,СССР,1972,7.5
Айлин,психологический фильм-триллер; экранизация романа,Уильям Олдройд,США; Великобритания,2023,5.9
Айла,драма,Джан Улкай,Турция; Республика Корея,2017,8.2
Айка,драма,Сергей Дворцевой,Казахстан; Россия; Германия; Китай; Польша,2018,7.1
Айгюн,мелодрама,Кямиль Рустамбеков,СССР; /; Азербайджанская ССР,1960,6.8
Айви,Фильм нуар; Мелодрама,Сэм Вуд,США,1947,7.0
Аист,"драма; притча; ,",Валерий Жереги,СССР,1978,
Айвенго,приключенческий фильм,Дуглас Кэмфилд,США; Великобритания,1982,6.7
Айвенго,"исторический фильм; приключение; ,",Ричард Торп,США,1952,6.8
Айболит-66,"музыкальный фильм; 1; комедия; приключения; артхаус; семейный фильм; ,",Ролан Быков; 1,СССР,1967,6.8
Аир,драма; 1; экранизация литературного произведения,Анджей Вайда; 1; 2,Польша,2009,6.3
Азор,драма,Бакич Видяй,Россия,2018,
Аин,драма,Аллен Фон Юкпхин,Гонконг,1983,7.0
Аида,драма,,Италия,1911,
Аида,фильм; опера; музыкальный фильм; драма; мелодрама,Клементе Фракасси,Италия,1953,5.3
Азирис Нуна,фантастика,Олег Компасов,Россия,2006,3.6
Азиатский связной,боевик,Дэниэл Дзирилли,Таиланд; США,2016,3.2
Азбука футбола,комедия,Холли Голдберг Слоан,США,1995,5.6
Азбука смерти,"ужасы; комедия; мистика; боевик; драма; ,",см. ниже,США,2012,4.7
Азбука любви,мелодрама,Леонс Перре,США,1919,6.4
Азартные игры,"триллер; драма; ,",Джон Франкенхаймер,США,2000,5.8
Азартная игра,драма,Уильям Фридкин,США,1994,6.3
Азамат,драма,,СССР,1939,
Азарт удачи,комедия,Билли Уайлдер,США,1966,7.2
Азарт любви,"музыкальный фильм; драма; боевик; ,",Мансур Хан,Индия,2000,6.1
Адский переплёт,Фильм нуар; Триллер,Уильям Дж. Хоул-младший,США,1957,6.3
Адский остров,Фильм нуар,Фил Карлсон,США,1955,5.9
Адский небоскрёб,комедия; кинопародия,Шарль Немес,Франция,2001,5.8
Адский котёл,фильм ужасов,Жорж Мельес,Франция,1903,6.6
Адский ветряк,боевик,Лу Цзюньгу; Тони Вон,Гонконг,1979,6.6
Адский бункер,боевик; фильм ужасов,Стив Баркер,Великобритания,2008,5.8
Адская поездка,"боевик; триллер; приключения; ,",Ларри Бишоп,США,2008,5.0
Адская ночь,ужасы; триллер,Том Де Саймон,США,1981,5.6
Адская месть-2. Кровавые крылья,фильм ужасов,Джефф Барр,США,1994,4.7
Адская кухня,"криминал; драма; ,",Тони Чинчирипини,США,1998,4.6
Адская кухня,криминальная; драма; боевик,Андреа Берлофф,США,2019,5.6
Адская кухня,драма,Сильвестр Сталлоне,США,1978,5.7
Адская жёнушка,комедия,Джеймс Лейн; Дональд Джонс,США,1993,2.7
Адрес неизвестен,комедийная драма,Жан-Поль ле Шануа,Франция,1950,6.6
Адрес Ленина,,Владимир Петров,СССР,1929,
Адрес вашего дома,военная; драма; приключения,Евгений Хринюк,СССР,1972,6.3
Адреналин,боевик; триллер; криминал; чёрная комедия,Марк Невелдайн; Брайан Тейлор,США,2006,6.9
Адреналин,фильм ужасов,Анита Ассаль; Бартоломи Бомпар,Франция,1990,6.3
Адмиралъ,исторический; военный; приключенческий; мелодрама; драма,Андрей Кравчук,Россия,2008,6.6
Адмирал Ушаков,историко-биографический,Михаил Ромм,СССР,1953,7.2
Адмирал Нахимов,историко-биографический,Всеволод Пудовкин,СССР,1946,6.5
Адмирал,байопик; военный фильм; исторический фильм; драма,Роэль Рейн,Нидерланды,2015,7.0
Административная власть,романтический фильм; драма,Роберт Уайз,США,1954,7.4
Аджами,драма,Скандар Копти; Ярон Шани,Израиль; Германия,2009,7.2
Адемай на пограничном посту,комедия,Поль Коллин,Франция,1950,6.0
Адела ещё не ужинала,"Кинокомедия; детектив; ,",Олдржих Липский,Чехословакия,1977,7.4
Адвокат дьявола,ужасы; триллер; драма,Тейлор Хэкфорд,США,1997,7.5
Адвокат,"драма; детектив; ,",Искандер Хамраев,СССР,1990,7.7
Адвокат,драма,Ян Усок,Республика Корея,2013,7.7
Адвокат,драма,Уильям Уайлер,США,1933,7.5
Адаптация,трагикомедия,Спайк Джонз,США,2002,7.7
Адамовы яблоки,комедия; драма; криминальный фильм,Андерс Томас Йенсен,Дания; Германия,2005,7.7
Адам хочет быть человеком,драма,Витаутас Жалакявичюс,СССР,1959,7.1
Адам и Хева,комедия,Алексей Коренев,СССР,1969,7.3
Адам и Стив,комедия,Крэйг Честер,США,2005,5.8
Адам женится на Еве,драма; комедия,Виктор Абросимович Титов,СССР,1980,6.3
Адам,драма; мелодрама,Макс Майер,США,2009,7.1
Адажио,"криминальный фильм; фильм-триллер; polar; ,",Стефано Соллима,Италия,2023,6.6
Ада! Это же неудобно!,комедия,Конрад Том,Польша,1936,6.6
"Ад, или Досье на самого себя",драма,Геннадий Беглов,СССР,1989,6.4
Ад Танжера,драма,Франк Ван Мехелен,Бельгия,2006,7.1
Ад по соседству,"драма; 1; фильм ужасов; фильм-триллер; ,",Дэвид Мармор; 1,США; 1,2019,5.8
Ад каннибалов 3,Ужасы; Приключения,Руджеро Деодато,Италия,1977,5.9
Ад каннибалов,фильм о каннибалах,Руджеро Деодато,Италия,1980,5.8
Ад и небо,Фантастическая; комедия,Станислав Ружевич,Польша,1966,6.8
Ад живых мертвецов,фильм ужасов,Бруно Маттеи; Клаудио Фрагассо,Италия; Испания,1980,4.8
Ад в Тихом океане,приключенческий фильм; боевик,Джон Бурмен,США,1968,7.2
Ад в поднебесье,фильм-катастрофа,Джон Гиллермин,США,1974,7.0
Ад в заливе Фриско,Фильм нуар,Фрэнк Таттл,США,1956,6.4
Ад,"криминальная; драма; чёрный юмор; ,",Луис Эстрада,Мексика,2010,7.7
Ад,драма,Клод Шаброль,Франция,1994,7.0
Ад,"немое кино; драма; фильм ужасов; фэнтези; ,",Джузеппе де Лигуоро; Адольфо Падован; Франческо Бертолини,Италия,1911,7.1
Агро Дрифт,боевик; экспериментальный кинематограф,Хармони Корин,США,2023,5.6
Ад — это город,криминальный фильм,Вэл Гест,Великобритания,1960,7.0
Агрессивные дамочки,комедия; пародия,Джули Браун; Ричард Уэнк,США,1994,4.4
Агония,"исторический фильм; драма; ,",Элем Климов,СССР,1981,7.0
Агора,биография; драма; приключения; история; пеплум; 1,Алехандро Аменабар,Испания; Мальта; Португалия; Франция; США,2009,7.1
Агнец,фолк-хоррор,Вальдимар Йоханнссон,Исландия; Швеция; Польша,2021,6.3
Агнесса Божья,драма; триллер,Норман Джуисон,США,1985,6.6
Агитбригада «Бей врага!»,комедия; драма,Виталий Мельников,Россия,2007,6.8
"Агирре, гнев божий","драма; приключения; ,",Вернер Херцог,ФРГ,1972,7.8
Агенты Сокол и Снеговик,драма; триллер; /,Джон Шлезингер,Великобритания; США,1985,6.8
Агенты КГБ тоже влюбляются,комедия положений,Себастьян Аларкон,СССР,1991,5.4
Агенты казначейства,нуар,Энтони Манн,США,1947,6.9
Агенты А.Н.К.Л.,Комедийный боевик,Гай Ричи,США,2015,7.2
Агент-невидимка,фильм ужасов; фантастический фильм,Эдвин Л. Марин,США,1942,5.9
Агент секретной службы,"детектив; шпионский; драма; ,",Ион Скутельник,СССР,1978,6.6
Агент под прикрытием,криминальный; комедийный боевик,Том Воган,США,2013,5.0
Агент по кличке Спот,боевик; комедия; /,Джон Уайтселл,США,2001,5.4
Агент по имени Далила,триллер,Ричард Франклин,США,1992,4.8
Агент особого назначения,Детектив,"Константин Статский; Наталья Шабанова; Андрей Элинсон; (1-й сезон),; (2-й сезон),; (3-й и 4-й сезоны)",Россия,2010,7.4
Агент Коди Бэнкс,комедия; пародия; боевик,Харальд Цварт,США,2003,5.2
Агент Картер,"короткометражка; боевик; приключения; научная фантастика; ,",Луис Д'Эспозито,США,2013,7.4
Агент Ева,боевик; триллер; драма; криминал; детектив,Тейт Тейлор,США,2020,5.5
Агент Джонни Инглиш 3.0,комедия; пародия; боевик,Дэвид Керр,Великобритания; Франция,2018,6.2
Агент Джонни Инглиш,комедия; боевик,Питер Хауитт,2; 3; Великобритания; Франция; США,2003,6.3
Агент,боевик,Аарон Норрис,США,1991,5.3
Агата,драма; триллер; /,Майкл Эптед,Великобритания,1979,6.2
Автострада,фильм ужасов; триллер; мистика,Мик Гаррис,США,1997,4.9
Автостопом по галактике,приключенческий фильм; комедия; фантастика,Гарт Дженнингс,Великобритания; США,2005,6.7
Автостоп,мелодрама; комедийная драма,Никита Михалков,Италия; СССР; Швейцария,1990,6.0
Авторитеты,супергеройский фильм,,США,2025,
Авторитет,blaxploitation; драма; боевик,Эрнест Дикерсон,США,1992,7.0
Авторитет,боевик; триллер,Райан Комбс,США,2008,5.0
Автора! Автора!,мелодрама,Артур Хиллер,США,1982,6.2
Автор,драма; комедия,Мануэль Мартин Куенка,Испания; Мексика,2017,6.5
Автопробег «Париж — Нью-Йорк»,фантастика,Жорж Мельес,Сибирь; Франция; Нью-Йорк; (съёмки); Германия,1908,5.0
Автопортрет неизвестного,драма,Вячеслав Криштофович,СССР,1988,6.2
Автомобильные воры,драма,Дж. Стюарт Блэктон,США,1906,6.6
"Автомобиль, скрипка и собака Клякса",комедия; музыкальный фильм; сказка,Ролан Быков,СССР,1974,6.7
Автомобиль на крыше,"исторический, комедия, драма, экранизация",Дмитрий Кесаянц,СССР,1980,3.8
"Автомобили, которые съели Париж",фильм ужасов; комедия; /,Питер Уир,Австралия,1974,5.6
Автомат,документальный фильм,Лиза Гурвиц,США,2021,7.8
Автокатастрофа,"драма; триллер; ,",Дэвид Кроненберг,Канада; 3; 4; […]; Великобритания,1996,6.4
Автомобиль,"фильм ужасов; фильм-тайна; фильм-триллер; ,",Эллиот Силверштейн,США,1977,6.2
Автобусная остановка,комедийная; драма,Джошуа Логан,США,1956,6.3
Автобус отходит в 6.20,"драма; соцреализм; ,",Ян Рыбковский,Польша,1954,5.4
Автобус,комедия,Арне Скуэн,Норвегия,1961,7.0
Автобан,боевик,Эрен Криви,Германия; США; Великобритания,2016,5.7
Австрийское поле,драма,Андрей Черных,СССР,1991,6.6
Австрийка,драма; исторический фильм,Пьер Гранье-Дефер,Франция,1989,6.1
Австралия,эпическая; драма,Баз Лурман,Австралия; США; Великобритания,2008,6.6
Аврора,"драма; мелодрама; ,",Оксана Байрак,Украина,2006,6.0
Авиценна,"Биографический фильм; исторический фильм; ,",Камиль Ярматов,СССР,1956,6.2
Авиатор,научно-фантастическая; драма,Егор Кончаловский,Россия,2025,4.9
"Авива, любовь моя",драма,Шеми Зархин; 1,Израиль,2006,7.2
Авиатор,фильм-биография; драма,Мартин Скорсезе,США; Германия; Япония,2004,7.5
Авиапочта,мелодрама; приключения,Ирвин Виллат,США,1925,6.2
"Авель, твой брат",психологическая; драма,Януш Насфетер,Польша,1970,7.1
Аве Цезарь,комедия,Энтони Майкл Холл,США,1994,3.2
Аве Мария,"драма; мелодрама; ,",Людмила Ефименко,Украина,1999,7.4
Авдотья Павловна,"киноповесть; драма; социальная драма; ,",Александр Муратов,СССР,1966,6.6
Августовские киты,драма,Линдсей Андерсон,США,1987,7.1
Августовская рапсодия,драма,Акира Куросава,Япония,1991,7.2
Август. Восьмого,"военный; боевик; драма; ,",Джаник Файзиев,Россия,2012,5.6
Август Раш,драма; мелодрама,Кирстен Шеридан,США,2007,7.4
Август без императора,"драма; триллер; ,",Сацуо Ямамото,Япония,1978,6.6
Август,"военный; триллер; боевик; детектив; драма; ,","Никита Высоцкий; , Илья Лебедев",Россия,2025,6.3
Август,"комедия; драма; ,",Энтони Хопкинс,Великобритания,1996,5.8
Американская сказка,фэнтези; комедия,Дэвид Цукер,США,2008,4.0
Американская трагедия,драма,Джозеф фон Штернберг,США,1931,6.4
Американская рапсодия,"биографический фильм; фильм о взрослении; драма; 1; 2; […]; ,",Эва Гардос,США; Венгрия,2001,6.8
Американская пастораль,"драма; , криминал",Юэн Макгрегор,США,2016,6.1
Американская ночь,трагикомедия,Франсуа Трюффо,Франция; Италия,1973,8.0
Американская Мэри,фильм ужасов; триллер,Джен Соска; Сильвия Соска,Канада,2012,6.2
Американская милашка,Роуд-муви,Андреа Арнольд,Великобритания; США,2016,7.0
Американская мечта,комедия; музыка,Пол Вайц,США,2006,5.5
Американская история Икс,драма; криминал,Тони Кэй,США,1998,8.5
Американская интрижка,комедия; драма,Уильям Олсон,США,2008,6.2
Американская жестокость,"драма; криминальный фильм; ,",Тимоти Вудворд мл.,США,2016,4.5
Американская звезда,фильм-триллер,Гонсало Лопес-Гальего,США; Великобритания,2024,5.5
Американская дочь,трагикомедия; роуд-муви,Карен Шахназаров,Россия; США,1995,6.3
Американская девочка,"подростковый фильм; комедия; драма; ЛГБТ-фильм; ,",Джордан Брэйди; 1,США,2002,5.9
Американская готика,ужасы; триллер,Джон Хаф,Великобритания; Канада,1987,5.8
Американская басня,триллер,Энн Хэмилтон,США,2016,5.8
Американка,драма,Семи Челлас,Канада; США,2019,5.2
Американка,"драма; трагикомедия; ,",Дмитрий Месхиев,Россия,1997,6.8
Американизируй меня,драма,Эдвард Джеймс Олмос,США,1992,7.1
Американец в Риме,комедия,Стено,Италия,1954,6.9
Американизация Эмили,"драма, комедия, военный, мелодрама, экранизация",Артур Хиллер,США,1964,7.3
Американец в Париже,музыкальный фильм; мелодрама,Винсент Миннелли,США,1951,7.1
Американец,драма; криминальный фильм; /,Антон Корбейн,США,2010,6.3
Американец,драма,Майкл А. Гурджиан,Армения,2022,7.3
Американа,драма,Дэвид Кэррадайн,США,1983,6.4
"Америка, Америка","драма; мистика; ,",Элиа Казан,США,1963,7.7
Америка-3000,постапокалиптика,Дэвид Энгельбах,США,1986,4.2
Америка,Криминальная драма,Жуан Нуно Пинту,Испания; Португалия; Россия; Бразилия,2010,6.2
Амелия,биография; драма; мелодрама,Мира Наир,США; Канада,2009,5.8
Амели,романтическая комедия,Жан-Пьер Жёне,Франция; 2; 3,2001,8.3
Амбициозная кунгфуистка,боевик; приключенческий фильм,Лу Цзюньгу,Гонконг,1981,6.2
Амбивалентность,триллер; драма,Антон Бильжо,Россия,2019,5.7
Амаркорд,комедия; драма,Федерико Феллини,Италия; Франция,1973,7.8
"Амар, Акбар, Антони","комедия; ,",Манмохан Десаи,Индия,1977,7.4
Аманда ночью,"1; порнофильм, криминальная драма, триллер",Гэри Грейвер,США,1981,6.3
Аманда и инопланетянин,фантастика; комедия,Джон Кролл,США,1995,4.7
Аманда,драма; 2,Каролина Кавалли,Италия; Франция,2022,6.4
Амангельды,историческая драма,Моисей Левин,СССР,1938,5.9
Аманат,"биография; история; военный; драма; ,",Антон Сиверс; Рауф Кубаев,Россия,2022,6.6
Аманат,Драма,Сатыбалды Нарымбетов,Казахстан,2015,7.3
Амайа. Дитя вампира,"драма; фэнтези; фильм о вампирах; ,",Игорь Легаррета,,2021,6.6
Амазонки на Луне,"фантастика; скетч-шоу; ,",Джо Данте; Джон Лэндис; Карл Готлиб; Питер Хортон; Роберт К. Уайсс,США,1987,6.2
Амазонка в огне,"приключения; драма,",Луис Льоса,Перу; США,1993,3.6
Амазония,"комедия; фантастика; приключения; ,",Филипп де Брока,Франция,2000,4.8
Амадей,биографическая; историческая драма,Милош Форман,США,1984,8.4
"Аляска, сэр!","детектив, приключения",Вячеслав Ребров,Россия,1992,5.3
Аляска,драма,Клаудио Купеллини; 1; 2,Италия; Франция,2015,6.7
Алюминиевые человечки,комедия; драма,Барри Левинсон,США,1987,6.6
"Альфредо, Альфредо",комедия,Пьетро Джерми,Италия,1972,6.5
Альфред Великий,исторический фильм,Клайв Доннер,Великобритания,1969,6.2
Альфонс,комедия,Владимир Златоустовский,Россия,1993,5.4
Альфавиль,антиутопический; неонуар,Жан-Люк Годар,Италия; Франция,1965,7.0
Альфа Дог,триллер; драма; криминал; фильм-биография,Ник Кассаветис,США,2006,6.9
Альфа,исторический; боевик; триллер,Альберт Хьюз,США,2018,6.6
Альтамира,фильм-биография; драма; исторический фильм,Хью Хадсон,Испания,2016,6.0
Альсино и Кондор,драма,Мигель Литтин,Никарагуа; Куба; Коста-Рика; Мексика,1982,6.1
Альрауне,драма; фантастика,Хенрик Галеен,Германия,1928,6.2
Альманах сатиры и юмора,комедия,Александр Белинский,СССР,1980,
Альрауне,"фильм ужасов; научно-фантастический фильм; драма; эротический фильм; ,",Рихард Освальд; 1,Германия,1930,6.0
Альпы,драма,Йоргос Латимос,Греция,2011,6.3
Альпийская баллада,военная драма,Борис Степанов,СССР,1965,7.0
Альма и Оскар,драма; биография,Дитер Бернер,Австрия; Германия; Швейцария; Чехия,2022,5.9
